"filename", "language", "TypeScript", "CSS", "JSON", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\marug\Documents\iwish-angular\src\app\admin\admin-dashboard\admin-dashboard.component.css", "CSS", 0, 49, 0, 0, 0, 0, 4, 10, 63
"c:\Users\marug\Documents\iwish-angular\src\app\admin\admin-dashboard\admin-dashboard.component.html", "HTML", 0, 0, 0, 0, 6, 0, 8, 2, 16
"c:\Users\marug\Documents\iwish-angular\src\app\admin\admin-dashboard\admin-dashboard.component.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 7, 25
"c:\Users\marug\Documents\iwish-angular\src\app\admin\admin-routing.module.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 12, 1, 41
"c:\Users\marug\Documents\iwish-angular\src\app\admin\admin.module.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 8, 1, 30
"c:\Users\marug\Documents\iwish-angular\src\app\admin\categories\categories.component.css", "CSS", 0, 119, 0, 0, 0, 0, 1, 24, 144
"c:\Users\marug\Documents\iwish-angular\src\app\admin\categories\categories.component.html", "HTML", 0, 0, 0, 0, 135, 0, 42, 12, 189
"c:\Users\marug\Documents\iwish-angular\src\app\admin\categories\categories.component.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 14, 91
"c:\Users\marug\Documents\iwish-angular\src\app\admin\portfolio\portfolio.component.css", "CSS", 0, 74, 0, 0, 0, 0, 0, 25, 99
"c:\Users\marug\Documents\iwish-angular\src\app\admin\portfolio\portfolio.component.html", "HTML", 0, 0, 0, 0, 77, 0, 2, 20, 99
"c:\Users\marug\Documents\iwish-angular\src\app\admin\portfolio\portfolio.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\marug\Documents\iwish-angular\src\app\admin\portfolio\portfolio.component.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 18, 71
"c:\Users\marug\Documents\iwish-angular\src\app\admin\prodotto\prodotto.component.css", "CSS", 0, 80, 0, 0, 0, 0, 51, 19, 150
"c:\Users\marug\Documents\iwish-angular\src\app\admin\prodotto\prodotto.component.html", "HTML", 0, 0, 0, 0, 92, 0, 86, 8, 186
"c:\Users\marug\Documents\iwish-angular\src\app\admin\prodotto\prodotto.component.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 22, 105
"c:\Users\marug\Documents\iwish-angular\src\app\admin\progress\progress.component.css", "CSS", 0, 69, 0, 0, 0, 0, 151, 16, 236
"c:\Users\marug\Documents\iwish-angular\src\app\admin\progress\progress.component.html", "HTML", 0, 0, 0, 0, 84, 0, 150, 12, 246
"c:\Users\marug\Documents\iwish-angular\src\app\admin\progress\progress.component.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 33, 104
"c:\Users\marug\Documents\iwish-angular\src\app\admin\users\users.component.css", "CSS", 0, 37, 0, 0, 0, 0, 1, 11, 49
"c:\Users\marug\Documents\iwish-angular\src\app\admin\users\users.component.html", "HTML", 0, 0, 0, 0, 69, 0, 0, 2, 71
"c:\Users\marug\Documents\iwish-angular\src\app\admin\users\users.component.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 10, 41
"c:\Users\marug\Documents\iwish-angular\src\app\admin\wishlists\wishlists.component.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\marug\Documents\iwish-angular\src\app\admin\wishlists\wishlists.component.html", "HTML", 0, 0, 0, 0, 68, 0, 3, 8, 79
"c:\Users\marug\Documents\iwish-angular\src\app\admin\wishlists\wishlists.component.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 12, 48
"c:\Users\marug\Documents\iwish-angular\src\app\admin\work-in-progress\work-in-progress.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\marug\Documents\iwish-angular\src\app\admin\work-in-progress\work-in-progress.component.html", "HTML", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\marug\Documents\iwish-angular\src\app\admin\work-in-progress\work-in-progress.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\marug\Documents\iwish-angular\src\app\app-routing.module.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 9, 3, 22
"c:\Users\marug\Documents\iwish-angular\src\app\app.component.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 2, 3
"c:\Users\marug\Documents\iwish-angular\src\app\app.component.html", "HTML", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\marug\Documents\iwish-angular\src\app\app.component.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\marug\Documents\iwish-angular\src\app\app.module.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 7, 3, 34
